"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4336","get product details test for product MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2575","@smoke home page header test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3288","Invalid credentials passing through csv with fixture test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2641","logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepageold.spec.ts","",""
"","0","Post --> create new booking","chromium","2026-06-29","skipped","2026-06-29","","api/restful.booker.spec.ts","",""
"","2370","Invalid credentials passing through excel with james@test.com and","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","4087","verify user is able to land on product page for MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1505","POST --> create a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","2622","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2662","company logo exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","182","intercept with mocking","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","1942","Footer links available on product page","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1841","@smoke forgot password link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
